date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22 00:00:00,7,-1,0.0,8.7,1,1,11,05:14 AM,02:51 PM,07:32 AM,05:21 PM,-12,-1,1,-1,6,6,37,0.0,1025,1,10,4,5
2020-01-22 12:00:00,7,-1,0.0,8.7,1,1,11,05:14 AM,02:51 PM,07:32 AM,05:21 PM,-12,4,4,4,4,2,31,0.0,1024,4,10,55,3
2020-01-23 00:00:00,7,1,0.0,8.7,1,1,3,06:13 AM,03:44 PM,07:31 AM,05:22 PM,-10,1,1,1,5,18,43,0.0,1026,1,10,241,3
2020-01-23 12:00:00,7,1,0.0,8.7,1,1,3,06:13 AM,03:44 PM,07:31 AM,05:22 PM,-8,4,6,4,12,1,37,0.0,1030,6,10,22,10
2020-01-24 00:00:00,3,-6,0.0,8.7,1,1,0,07:05 AM,04:40 PM,07:30 AM,05:23 PM,-8,0,1,0,7,15,50,0.0,1037,1,10,115,5
2020-01-24 12:00:00,3,-6,0.0,8.7,1,1,0,07:05 AM,04:40 PM,07:30 AM,05:23 PM,-13,-1,2,-1,9,29,34,0.0,1038,2,10,180,8
2020-01-25 00:00:00,7,-1,0.0,8.7,1,1,0,07:50 AM,05:40 PM,07:30 AM,05:24 PM,-8,-3,-1,-3,1,5,50,0.0,1036,-3,10,189,1
2020-01-25 12:00:00,7,-1,0.0,8.7,1,1,0,07:50 AM,05:40 PM,07:30 AM,05:24 PM,-7,5,5,5,3,1,40,0.0,1034,5,10,63,3
2020-01-26 00:00:00,3,0,0.0,8.7,1,1,4,08:28 AM,06:40 PM,07:29 AM,05:26 PM,-5,5,5,5,5,0,48,0.0,1035,5,10,237,4
2020-01-26 12:00:00,3,0,0.0,8.7,1,1,4,08:28 AM,06:40 PM,07:29 AM,05:26 PM,-10,0,2,0,7,53,42,0.0,1033,2,10,48,6
2020-01-27 00:00:00,4,0,0.0,3.7,1,1,11,09:01 AM,07:41 PM,07:28 AM,05:27 PM,-10,-0,1,-0,4,74,47,0.0,1030,1,10,320,3
2020-01-27 12:00:00,4,0,0.0,3.7,1,1,11,09:01 AM,07:41 PM,07:28 AM,05:27 PM,-6,2,3,2,2,96,53,0.0,1026,3,10,130,2
2020-01-28 00:00:00,5,0,0.0,5.4,1,1,18,09:30 AM,08:39 PM,07:27 AM,05:28 PM,-5,1,1,1,3,100,63,0.0,1025,1,10,31,2
2020-01-28 12:00:00,5,0,0.0,5.4,1,1,18,09:30 AM,08:39 PM,07:27 AM,05:28 PM,-7,3,3,3,4,70,47,0.0,1025,3,10,74,3
2020-01-29 00:00:00,7,1,0.0,8.7,1,1,26,09:56 AM,09:38 PM,07:27 AM,05:29 PM,-6,2,2,2,4,86,53,0.0,1027,2,10,91,3
2020-01-29 12:00:00,7,1,0.0,8.7,1,1,26,09:56 AM,09:38 PM,07:27 AM,05:29 PM,-5,5,5,5,2,45,47,0.0,1026,5,10,233,1
2020-01-30 00:00:00,10,1,0.0,8.7,1,1,33,10:21 AM,10:34 PM,07:26 AM,05:30 PM,-8,3,3,3,5,11,43,0.0,1027,3,10,15,3
2020-01-30 12:00:00,10,1,0.0,8.7,1,1,33,10:21 AM,10:34 PM,07:26 AM,05:30 PM,-7,4,5,4,4,9,41,0.0,1026,5,10,182,3
2020-01-31 00:00:00,11,3,0.0,8.7,1,1,37,10:45 AM,11:32 PM,07:25 AM,05:32 PM,-4,6,6,6,3,1,50,0.0,1024,6,10,6,2
2020-01-31 12:00:00,11,3,0.0,8.7,1,1,37,10:45 AM,11:32 PM,07:25 AM,05:32 PM,-7,7,8,7,5,0,36,0.0,1023,8,10,137,5
2020-02-01 00:00:00,4,-0,0.0,7.1,1,1,49,11:10 AM,No moonset,07:24 AM,05:33 PM,-14,-1,3,-1,20,3,27,0.0,1028,3,10,352,14
2020-02-01 12:00:00,4,-0,0.0,7.1,1,1,49,11:10 AM,No moonset,07:24 AM,05:33 PM,-17,-0,2,-0,11,48,22,0.0,1031,2,10,32,9
2020-02-02 00:00:00,4,-1,0.2,5.4,1,1,57,11:37 AM,12:30 AM,07:23 AM,05:34 PM,-15,0,2,0,8,96,30,0.0,1030,2,8,150,6
2020-02-02 12:00:00,4,-1,0.2,5.4,1,1,57,11:37 AM,12:30 AM,07:23 AM,05:34 PM,-6,-0,2,-0,11,87,59,0.2,1028,2,6,235,10
2020-02-03 00:00:00,5,-0,0.0,8.7,1,1,64,12:07 PM,01:31 AM,07:22 AM,05:35 PM,-23,-5,-0,-5,17,1,16,0.0,1033,-0,10,225,14
2020-02-03 12:00:00,5,-0,0.0,8.7,1,1,64,12:07 PM,01:31 AM,07:22 AM,05:35 PM,-16,-4,1,-4,19,0,27,0.0,1028,1,10,206,17
2020-02-04 00:00:00,2,-4,0.0,8.7,1,1,72,12:42 PM,02:32 AM,07:21 AM,05:36 PM,-12,-3,0,-3,13,15,41,0.0,1026,0,10,29,10
2020-02-04 12:00:00,2,-4,0.0,8.7,1,1,72,12:42 PM,02:32 AM,07:21 AM,05:36 PM,-18,-4,-0,-4,11,3,24,0.0,1032,-0,10,75,9
2020-02-05 00:00:00,-3,-6,1.3,3.8,1,1,79,01:25 PM,03:35 AM,07:20 AM,05:38 PM,-12,-2,-1,-2,4,0,37,0.0,1037,-2,10,112,4
2020-02-05 12:00:00,-3,-6,1.3,3.8,1,1,79,01:25 PM,03:35 AM,07:20 AM,05:38 PM,-11,-7,-4,-7,8,100,60,0.1,1037,-4,8,106,7
2020-02-06 00:00:00,-2,-7,4.8,3.8,1,1,87,02:15 PM,04:38 AM,07:19 AM,05:39 PM,-6,-8,-5,-8,9,100,89,1.9,1037,-5,2,119,8
2020-02-06 12:00:00,-2,-7,4.8,3.8,1,1,87,02:15 PM,04:38 AM,07:19 AM,05:39 PM,-8,-5,-4,-5,5,97,71,0.3,1034,-4,4,133,4
2020-02-07 00:00:00,5,-3,0.0,8.7,1,1,95,03:15 PM,05:38 AM,07:18 AM,05:40 PM,-6,-4,-3,-4,5,11,78,0.0,1031,-3,10,37,4
