date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22 00:00:00,14,8,0.0,8.7,1,1,11,05:34 AM,02:55 PM,07:32 AM,05:12 PM,3,8,9,8,10,76,69,0.0,1036,9,10,30,5
2020-01-22 12:00:00,14,8,0.0,8.7,1,1,11,05:34 AM,02:55 PM,07:32 AM,05:12 PM,4,13,13,13,3,16,54,0.0,1033,13,10,173,2
2020-01-23 00:00:00,17,8,0.0,8.7,1,1,3,06:31 AM,03:49 PM,07:31 AM,05:13 PM,7,11,11,11,6,0,75,0.0,1031,11,10,26,5
2020-01-23 12:00:00,17,8,0.0,8.7,1,1,3,06:31 AM,03:49 PM,07:31 AM,05:13 PM,5,14,14,14,3,4,54,0.0,1029,14,10,197,2
2020-01-24 00:00:00,14,10,0.0,8.7,1,1,0,07:21 AM,04:47 PM,07:31 AM,05:14 PM,7,12,12,12,6,0,71,0.0,1028,12,10,56,5
2020-01-24 12:00:00,14,10,0.0,8.7,1,1,0,07:21 AM,04:47 PM,07:31 AM,05:14 PM,6,12,13,12,13,12,62,0.0,1026,13,10,146,11
2020-01-25 00:00:00,14,10,0.0,3.7,1,1,0,08:03 AM,05:48 PM,07:30 AM,05:16 PM,7,10,11,10,23,54,74,0.0,1024,11,10,124,14
2020-01-25 12:00:00,14,10,0.0,3.7,1,1,0,08:03 AM,05:48 PM,07:30 AM,05:16 PM,9,12,13,12,22,81,76,0.3,1023,13,9,144,17
2020-01-26 00:00:00,13,9,0.0,7.0,1,1,4,08:38 AM,06:49 PM,07:29 AM,05:17 PM,8,9,10,9,12,12,86,0.0,1022,10,10,102,7
2020-01-26 12:00:00,13,9,0.0,7.0,1,1,4,08:38 AM,06:49 PM,07:29 AM,05:17 PM,7,11,12,11,10,83,72,0.2,1019,12,9,101,8
2020-01-27 00:00:00,15,8,0.0,8.7,1,1,11,09:09 AM,07:50 PM,07:28 AM,05:18 PM,7,9,9,9,9,12,86,0.0,1020,9,10,13,6
2020-01-27 12:00:00,15,8,0.0,8.7,1,1,11,09:09 AM,07:50 PM,07:28 AM,05:18 PM,5,14,14,14,4,14,56,0.0,1020,14,10,193,4
2020-01-28 00:00:00,12,10,0.0,3.7,1,1,18,09:36 AM,08:50 PM,07:27 AM,05:19 PM,8,9,10,9,16,100,84,0.1,1019,10,10,145,9
2020-01-28 12:00:00,12,10,0.0,3.7,1,1,18,09:36 AM,08:50 PM,07:27 AM,05:19 PM,8,10,12,10,19,100,77,0.5,1015,12,10,198,13
