date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22 00:00:00,22,19,0.0,11.0,1,1,11,04:50 AM,03:57 PM,07:03 AM,06:06 PM,14,20,20,20,39,34,68,0.0,1017,20,10,349,29
2020-01-22 12:00:00,22,19,0.0,11.0,1,1,11,04:50 AM,03:57 PM,07:03 AM,06:06 PM,11,22,24,22,35,0,51,0.0,1017,22,10,333,31
2020-01-23 00:00:00,23,18,0.0,11.0,1,1,3,05:46 AM,04:51 PM,07:03 AM,06:07 PM,10,19,19,19,33,0,56,0.0,1017,19,10,357,25
2020-01-23 12:00:00,23,18,0.0,11.0,1,1,3,05:46 AM,04:51 PM,07:03 AM,06:07 PM,5,21,23,21,23,0,34,0.0,1018,21,10,322,20
2020-01-24 00:00:00,23,18,0.0,11.0,1,1,0,06:38 AM,05:46 PM,07:03 AM,06:07 PM,8,20,20,20,33,0,46,0.0,1019,20,10,355,24
2020-01-24 12:00:00,23,18,0.0,11.0,1,1,0,06:38 AM,05:46 PM,07:03 AM,06:07 PM,2,23,23,23,28,0,26,0.0,1018,23,10,339,25
2020-01-25 00:00:00,23,18,0.0,11.1,1,1,0,07:26 AM,06:40 PM,07:03 AM,06:08 PM,11,19,19,19,30,0,58,0.0,1020,19,10,10,21
2020-01-25 12:00:00,23,18,0.0,11.1,1,1,0,07:26 AM,06:40 PM,07:03 AM,06:08 PM,9,24,24,22,26,0,45,0.0,1021,22,10,342,23
2020-01-26 00:00:00,27,19,0.0,11.1,1,1,4,08:09 AM,07:34 PM,07:03 AM,06:09 PM,9,20,20,20,36,0,50,0.0,1021,20,10,5,25
2020-01-26 12:00:00,27,19,0.0,11.1,1,1,4,08:09 AM,07:34 PM,07:03 AM,06:09 PM,1,24,24,26,14,0,20,0.0,1021,26,10,44,11
2020-01-27 00:00:00,27,20,0.0,11.1,1,1,11,08:49 AM,08:25 PM,07:02 AM,06:09 PM,-3,22,22,22,40,0,18,0.0,1019,22,10,40,25
2020-01-27 12:00:00,27,20,0.0,11.1,1,1,11,08:49 AM,08:25 PM,07:02 AM,06:09 PM,-2,25,25,26,4,0,15,0.0,1018,26,10,272,3
2020-01-28 00:00:00,28,22,0.0,10.1,1,1,18,09:26 AM,09:16 PM,07:02 AM,06:10 PM,9,24,24,23,21,0,40,0.0,1016,23,10,11,14
2020-01-28 12:00:00,28,22,0.0,10.1,1,1,18,09:26 AM,09:16 PM,07:02 AM,06:10 PM,4,26,26,28,11,46,22,0.0,1015,28,10,177,8
2020-01-29 00:00:00,25,23,0.0,10.1,1,1,26,10:00 AM,10:04 PM,07:02 AM,06:10 PM,12,25,25,23,16,100,48,0.0,1015,23,10,28,12
2020-01-29 12:00:00,25,23,0.0,10.1,1,1,26,10:00 AM,10:04 PM,07:02 AM,06:10 PM,15,26,26,25,28,16,52,0.0,1017,25,10,326,24
2020-01-30 00:00:00,28,21,0.0,11.1,1,1,33,10:33 AM,10:53 PM,07:02 AM,06:11 PM,13,25,25,22,30,0,58,0.0,1018,22,10,360,22
2020-01-30 12:00:00,28,21,0.0,11.1,1,1,33,10:33 AM,10:53 PM,07:02 AM,06:11 PM,10,27,27,28,4,17,34,0.0,1017,28,10,342,3
2020-01-31 00:00:00,25,23,0.0,7.1,1,1,37,11:06 AM,11:42 PM,07:01 AM,06:12 PM,11,25,25,24,17,19,45,0.0,1015,24,10,20,12
2020-01-31 12:00:00,25,23,0.0,7.1,1,1,37,11:06 AM,11:42 PM,07:01 AM,06:12 PM,16,26,26,25,14,41,56,0.0,1016,25,10,300,12
2020-02-01 00:00:00,24,21,0.0,11.1,1,1,49,11:40 AM,No moonset,07:01 AM,06:12 PM,16,25,25,23,21,0,65,0.0,1016,23,10,343,15
2020-02-01 12:00:00,24,21,0.0,11.1,1,1,49,11:40 AM,No moonset,07:01 AM,06:12 PM,13,25,25,24,24,0,49,0.0,1017,24,10,325,21
2020-02-02 00:00:00,25,21,0.0,11.1,1,1,57,12:16 PM,12:32 AM,07:01 AM,06:13 PM,14,21,24,21,28,0,63,0.0,1017,21,10,359,20
2020-02-02 12:00:00,25,21,0.0,11.1,1,1,57,12:16 PM,12:32 AM,07:01 AM,06:13 PM,11,26,26,25,23,0,41,0.0,1017,25,10,323,20
2020-02-03 00:00:00,26,23,0.0,10.1,1,1,64,12:55 PM,01:24 AM,07:00 AM,06:14 PM,13,25,25,23,21,10,55,0.0,1017,23,10,357,15
2020-02-03 12:00:00,26,23,0.0,10.1,1,1,64,12:55 PM,01:24 AM,07:00 AM,06:14 PM,15,27,27,26,21,50,52,0.0,1016,26,10,306,18
2020-02-04 00:00:00,25,23,0.0,8.6,1,1,72,01:39 PM,02:18 AM,07:00 AM,06:14 PM,15,25,25,24,11,81,57,0.0,1016,24,10,2,8
2020-02-04 12:00:00,25,23,0.0,8.6,1,1,72,01:39 PM,02:18 AM,07:00 AM,06:14 PM,17,26,26,25,24,63,60,0.0,1015,25,10,310,21
2020-02-05 00:00:00,26,22,0.0,11.6,1,1,79,02:28 PM,03:15 AM,06:59 AM,06:15 PM,15,25,25,23,21,23,63,0.0,1015,23,10,2,15
2020-02-05 12:00:00,26,22,0.0,11.6,1,1,79,02:28 PM,03:15 AM,06:59 AM,06:15 PM,12,26,26,25,15,16,43,0.0,1015,25,10,322,13
2020-02-06 00:00:00,26,23,0.0,11.6,1,1,87,03:23 PM,04:13 AM,06:59 AM,06:15 PM,12,25,25,23,17,29,48,0.0,1015,23,10,22,12
2020-02-06 12:00:00,26,23,0.0,11.6,1,1,87,03:23 PM,04:13 AM,06:59 AM,06:15 PM,14,27,27,26,14,10,46,0.0,1017,26,10,268,12
2020-02-07 00:00:00,26,24,0.0,11.6,1,1,95,04:23 PM,05:13 AM,06:59 AM,06:16 PM,15,25,25,24,18,16,60,0.0,1017,24,10,54,12
2020-02-07 12:00:00,26,24,0.0,11.6,1,1,95,04:23 PM,05:13 AM,06:59 AM,06:16 PM,17,27,27,26,20,4,56,0.0,1017,26,10,276,17
2020-02-08 00:00:00,27,22,0.0,11.6,1,1,100,05:28 PM,06:10 AM,06:58 AM,06:16 PM,16,25,25,24,11,13,60,0.0,1018,24,10,14,8
2020-02-08 12:00:00,27,22,0.0,11.6,1,1,100,05:28 PM,06:10 AM,06:58 AM,06:16 PM,9,26,26,27,32,3,33,0.0,1018,27,10,325,28
2020-02-09 00:00:00,23,20,0.0,11.6,1,1,100,06:34 PM,07:04 AM,06:58 AM,06:17 PM,13,21,24,21,39,3,58,0.0,1019,21,10,356,30
2020-02-09 12:00:00,23,20,0.0,11.6,1,1,100,06:34 PM,07:04 AM,06:58 AM,06:17 PM,10,25,25,23,37,9,45,0.0,1019,23,10,323,32
2020-02-10 00:00:00,23,20,0.0,11.6,1,1,83,07:40 PM,07:54 AM,06:57 AM,06:18 PM,13,21,21,21,41,0,62,0.0,1019,21,10,350,31
2020-02-10 12:00:00,23,20,0.0,11.6,1,1,83,07:40 PM,07:54 AM,06:57 AM,06:18 PM,12,25,25,23,44,0,51,0.0,1017,23,10,328,39
2020-02-11 00:00:00,25,19,0.0,11.6,1,1,75,08:43 PM,08:40 AM,06:57 AM,06:18 PM,13,20,20,20,35,0,61,0.0,1017,20,10,349,27
2020-02-11 12:00:00,25,19,0.0,11.6,1,1,75,08:43 PM,08:40 AM,06:57 AM,06:18 PM,6,24,24,24,34,0,32,0.0,1017,24,10,336,30
2020-02-12 00:00:00,27,20,0.0,11.6,1,1,68,09:46 PM,09:24 AM,06:56 AM,06:19 PM,10,21,21,21,40,0,50,0.0,1018,21,10,4,30
2020-02-12 12:00:00,27,20,0.0,11.6,1,1,68,09:46 PM,09:24 AM,06:56 AM,06:19 PM,8,26,26,27,28,0,30,0.0,1018,27,10,324,24
2020-02-13 00:00:00,28,22,0.0,11.6,1,1,60,10:47 PM,10:06 AM,06:55 AM,06:19 PM,12,25,25,23,27,5,51,0.0,1018,23,10,341,19
2020-02-13 12:00:00,28,22,0.0,11.6,1,1,60,10:47 PM,10:06 AM,06:55 AM,06:19 PM,9,27,27,28,10,4,31,0.0,1019,28,10,236,8
2020-02-14 00:00:00,28,23,0.0,11.6,1,1,53,11:48 PM,10:48 AM,06:55 AM,06:20 PM,13,26,26,25,20,8,49,0.0,1018,25,10,42,13
2020-02-14 12:00:00,28,23,0.0,11.6,1,1,53,11:48 PM,10:48 AM,06:55 AM,06:20 PM,10,27,27,28,13,5,32,0.0,1016,28,10,252,10
2020-02-15 00:00:00,28,25,0.0,11.6,1,1,45,No moonrise,11:31 AM,06:54 AM,06:20 PM,16,26,26,26,6,9,55,0.0,1015,26,10,30,4
2020-02-15 12:00:00,28,25,0.0,11.6,1,1,45,No moonrise,11:31 AM,06:54 AM,06:20 PM,17,29,29,28,14,6,52,0.0,1014,28,10,246,11
2020-02-16 00:00:00,30,24,0.0,11.6,1,1,38,12:48 AM,12:15 PM,06:54 AM,06:21 PM,21,27,27,24,12,12,83,0.0,1013,24,10,108,8
2020-02-16 12:00:00,30,24,0.0,11.6,1,1,38,12:48 AM,12:15 PM,06:54 AM,06:21 PM,19,32,32,30,32,7,53,0.0,1012,30,10,202,27
2020-02-17 00:00:00,27,24,0.0,11.6,1,1,30,01:48 AM,01:03 PM,06:53 AM,06:21 PM,21,27,27,25,9,6,78,0.0,1013,25,10,278,6
2020-02-17 12:00:00,27,24,0.0,11.6,1,1,30,01:48 AM,01:03 PM,06:53 AM,06:21 PM,20,28,28,27,21,6,68,0.0,1013,27,10,291,18
2020-02-18 00:00:00,25,23,0.0,11.6,1,1,22,02:46 AM,01:54 PM,06:52 AM,06:22 PM,16,25,25,24,15,17,63,0.0,1014,24,10,23,10
2020-02-18 12:00:00,25,23,0.0,11.6,1,1,22,02:46 AM,01:54 PM,06:52 AM,06:22 PM,18,27,27,25,21,29,65,0.0,1014,25,10,293,18
2020-02-19 00:00:00,25,22,0.0,8.7,1,1,15,03:42 AM,02:46 PM,06:52 AM,06:22 PM,16,25,25,23,18,0,65,0.0,1014,23,10,359,13
