date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22 00:00:00,4,-1,0.4,7.1,1,1,11,05:03 AM,03:03 PM,07:12 AM,05:21 PM,-4,-5,-1,-5,14,53,85,0.2,1025,-1,7,44,8
2020-01-22 12:00:00,4,-1,0.4,7.1,1,1,11,05:03 AM,03:03 PM,07:12 AM,05:21 PM,-1,0,3,0,11,81,76,0.0,1023,3,10,152,9
2020-01-23 00:00:00,4,-1,1.5,5.4,1,1,3,06:00 AM,03:57 PM,07:11 AM,05:22 PM,-3,2,3,2,4,52,66,0.0,1019,3,10,79,4
2020-01-23 12:00:00,4,-1,1.5,5.4,1,1,3,06:00 AM,03:57 PM,07:11 AM,05:22 PM,1,1,3,1,9,87,83,0.6,1013,3,2,255,8
2020-01-24 00:00:00,6,-1,0.0,8.7,1,1,0,06:51 AM,04:53 PM,07:11 AM,05:23 PM,-8,-5,-1,-5,22,4,56,0.0,1015,-1,10,324,12
2020-01-24 12:00:00,6,-1,0.0,8.7,1,1,0,06:51 AM,04:53 PM,07:11 AM,05:23 PM,-4,4,5,4,8,14,54,0.0,1018,5,10,299,6
2020-01-25 00:00:00,6,-2,0.0,8.7,1,1,0,07:37 AM,05:52 PM,07:10 AM,05:24 PM,-11,-3,0,-3,15,100,42,0.0,1023,0,10,353,8
2020-01-25 12:00:00,6,-2,0.0,8.7,1,1,0,07:37 AM,05:52 PM,07:10 AM,05:24 PM,-4,4,5,4,6,19,52,0.0,1026,5,10,259,5
2020-01-26 00:00:00,6,-1,0.0,8.7,1,1,4,08:15 AM,06:50 PM,07:10 AM,05:25 PM,-9,-3,-0,-3,14,11,51,0.0,1025,-0,10,3,8
2020-01-26 12:00:00,6,-1,0.0,8.7,1,1,4,08:15 AM,06:50 PM,07:10 AM,05:25 PM,-4,4,5,4,5,5,54,0.0,1022,5,10,244,4
2020-01-27 00:00:00,9,0,0.0,8.7,1,1,11,08:49 AM,07:48 PM,07:09 AM,05:26 PM,-8,4,5,4,7,0,40,0.0,1024,5,10,344,6
2020-01-27 12:00:00,9,0,0.0,8.7,1,1,11,08:49 AM,07:48 PM,07:09 AM,05:26 PM,-5,6,6,6,5,4,45,0.0,1027,6,10,147,4
2020-01-28 00:00:00,7,-1,0.0,8.7,1,1,18,09:20 AM,08:44 PM,07:08 AM,05:27 PM,-9,-1,2,-1,11,3,44,0.0,1028,2,10,19,7
2020-01-28 12:00:00,7,-1,0.0,8.7,1,1,18,09:20 AM,08:44 PM,07:08 AM,05:27 PM,-4,6,6,6,5,5,49,0.0,1024,6,10,146,4
2020-01-29 00:00:00,7,-1,0.0,5.5,1,1,26,09:48 AM,09:40 PM,07:08 AM,05:28 PM,-9,1,2,1,7,5,43,0.0,1022,2,10,22,4
2020-01-29 12:00:00,7,-1,0.0,5.5,1,1,26,09:48 AM,09:40 PM,07:08 AM,05:28 PM,-3,4,5,4,9,100,56,0.0,1017,5,10,182,8
2020-01-30 00:00:00,8,-0,0.0,8.7,1,1,33,10:15 AM,10:34 PM,07:07 AM,05:29 PM,-7,0,2,0,11,33,52,0.0,1018,2,10,340,5
2020-01-30 12:00:00,8,-0,0.0,8.7,1,1,33,10:15 AM,10:34 PM,07:07 AM,05:29 PM,-0,4,7,4,18,5,61,0.0,1017,7,10,293,15
2020-01-31 00:00:00,9,3,0.0,8.7,1,1,37,10:41 AM,11:30 PM,07:06 AM,05:31 PM,-6,2,4,2,12,2,48,0.0,1018,4,10,341,9
2020-01-31 12:00:00,9,3,0.0,8.7,1,1,37,10:41 AM,11:30 PM,07:06 AM,05:31 PM,1,9,9,9,5,4,59,0.0,1014,9,10,250,4
2020-02-01 00:00:00,7,-1,0.7,7.1,1,1,49,11:09 AM,No moonset,07:05 AM,05:32 PM,-11,2,4,2,15,6,32,0.0,1012,4,10,15,7
2020-02-01 12:00:00,7,-1,0.7,7.1,1,1,49,11:09 AM,No moonset,07:05 AM,05:32 PM,-1,5,7,5,13,44,55,0.0,1008,7,10,161,11
2020-02-02 00:00:00,5,-4,0.0,8.7,1,1,57,11:39 AM,12:26 AM,07:05 AM,05:33 PM,-10,-7,-2,-7,30,30,51,0.0,1016,-2,10,335,15
2020-02-02 12:00:00,5,-4,0.0,8.7,1,1,57,11:39 AM,12:26 AM,07:05 AM,05:33 PM,-5,0,4,0,17,13,53,0.0,1020,4,10,289,15
2020-02-03 00:00:00,7,-1,0.0,8.7,1,1,64,12:12 PM,01:24 AM,07:04 AM,05:34 PM,-10,-2,1,-2,14,3,45,0.0,1024,1,10,338,11
2020-02-03 12:00:00,7,-1,0.0,8.7,1,1,64,12:12 PM,01:24 AM,07:04 AM,05:34 PM,-5,5,5,5,4,3,49,0.0,1021,5,10,234,3
2020-02-04 00:00:00,9,-0,0.0,8.7,1,1,72,12:50 PM,02:24 AM,07:03 AM,05:35 PM,-10,4,4,4,5,0,36,0.0,1016,4,10,9,4
2020-02-04 12:00:00,9,-0,0.0,8.7,1,1,72,12:50 PM,02:24 AM,07:03 AM,05:35 PM,-5,6,8,6,11,45,40,0.0,1011,8,10,275,9
2020-02-05 00:00:00,10,1,0.0,8.7,1,1,79,01:36 PM,03:26 AM,07:02 AM,05:36 PM,-7,-3,2,-3,40,41,54,0.0,1015,2,10,312,19
2020-02-05 12:00:00,10,1,0.0,8.7,1,1,79,01:36 PM,03:26 AM,07:02 AM,05:36 PM,-1,6,8,6,18,17,52,0.0,1017,8,10,296,16
2020-02-06 00:00:00,15,5,0.0,8.7,1,1,87,02:28 PM,04:27 AM,07:01 AM,05:37 PM,-6,4,6,4,12,5,43,0.0,1019,6,10,340,6
2020-02-06 12:00:00,15,5,0.0,8.7,1,1,87,02:28 PM,04:27 AM,07:01 AM,05:37 PM,0,13,14,13,12,0,40,0.0,1018,14,10,290,10
2020-02-07 00:00:00,16,6,0.0,8.7,1,1,95,03:30 PM,05:26 AM,07:00 AM,05:38 PM,-9,8,9,8,13,0,27,0.0,1017,9,10,331,8
2020-02-07 12:00:00,16,6,0.0,8.7,1,1,95,03:30 PM,05:26 AM,07:00 AM,05:38 PM,2,16,16,16,5,0,40,0.0,1014,16,10,282,4
2020-02-08 00:00:00,15,7,0.0,3.9,1,1,100,04:37 PM,06:21 AM,07:00 AM,05:39 PM,-4,7,8,7,17,7,43,0.0,1011,8,10,35,8
2020-02-08 12:00:00,15,7,0.0,3.9,1,1,100,04:37 PM,06:21 AM,07:00 AM,05:39 PM,2,12,13,12,10,89,46,0.1,1007,13,10,199,9
2020-02-09 00:00:00,8,3,0.0,7.2,1,1,100,05:49 PM,07:10 AM,06:59 AM,05:40 PM,-9,1,5,1,36,83,37,0.1,1009,5,10,268,21
2020-02-09 12:00:00,8,3,0.0,7.2,1,1,100,05:49 PM,07:10 AM,06:59 AM,05:40 PM,-5,6,8,6,16,26,38,0.0,1011,8,10,249,14
2020-02-10 00:00:00,6,0,0.3,7.2,1,1,83,07:02 PM,07:54 AM,06:58 AM,05:41 PM,-6,0,3,0,15,83,53,0.1,1018,3,10,317,12
